,IATA,ICAO,Airline,Call sign,Country,Comments
0,,,,,,
1,,EVY,"34 Squadron, Royal Australian Air Force",,Australia,
2,,GNL,135 Airways,GENERAL,United States,
3,1T,,Hitit Computer Services,,Turkey,Computer reservation system
4,,WYT,2 Sqn No 1 Elementary Flying Training School,WYTON,United Kingdom,Royal Air Force
5,,TFU,213th Flight Unit,THJY,Russia,State Airline
6,,CHD,223rd Flight Unit,CHKALOVSK-AVIA,Russia,State Airline
7,,TTF,224th Flight Unit,CARGO UNIT,Russia,State Airline
8,,TWF,247 Jet Ltd,CLOUD RUNNER,United Kingdom,
9,,SEC,3D Aviation,SECUREX,United States,
10,Q5,MLA,40-Mile Air,MILE-AIR,United States,
11,,QRT,4D Air,QUARTET,Thailand,Defunct
12,,PIU,43 Air School,PRIMA,South Africa,
13,4O,AIJ,Interjet,ABC Aerolineas,Mexico,
14,7A,XRC,Express Air Cargo,,Tunisia,
15,,BRO,2Excel Aviation,BROADSWORD,United Kingdom,"

"
16,,WSN,Advanced Air,WINGSPAN,United States,2015[1]
17,,GBT,A-Jet Aviation Aircraft Management,GLOBETROTTER,Austria,
18,,AJR,A-Jet Aviation Company,JET MONGOLIA,Mongolia,
19,,SFM,A-Safar Air Services,AIR SAFAR,Nigeria,
20,,AJJ,A2 Jet Leasing,ATLANTIC JET,United States,
21,,XXV,AASANA,,Bolivia,
22,,LEP,Air Costa,LECOSTA,India,2014[2]
23,,NKP,Abakan Air,ABAKAN AIR,Russian Federation,2014[2]
24,,ADD,Advanced Air,,Japan,2014[2]
25,,OWN,Aero Owen,AERO OWEN,Mexico,2014[2]
26,,ASR,Aero Sotravia,SOTRAVIA,France,2014[2]
27,,ARH,Aerohelicopteros,AEROHELCA,Venezuela,2014[2]
28,,VMX,Aeroventas de Mexico,VENTA,Mexico,2014[2]
29,,ACC,Airspeed Charter,,Jamaica,2014[2]
30,,FSY,Algonquin Airlink,FROSTY,Canada,2014[2]
31,,TTX,Alliance Air Charters,TWISTER,United States,
32,,ALN,Alpha Jet,TOLEMAC,Slovakia,2014[2]
33,,UJX,Atlas Ukraine Airlines,ATLAS UKRAINE,Ukraine,2014[2]
34,,RGR,Avior Regional,AVIOR REGIONAL,Venezuela,2014[2]
35,,NGF,Air Charity Network,ANGEL FLIGHT,United States,Re-allocated in 2014 was used by Angel Flight America[3]
36,,WFT,Aircharters Worldwide,WORLD FLIGHT,United States,Allocated 2014[4]
37,,ATT,Attawasol Airlines,ATTAWASOL AIR,Libya,
38,,EDY,Apollo Air Service,STOBART,United Kingdom,Was VLL Limited
39,JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands,Name changed from Interisland Airways Limited and Air Turks & Caicos
40,JU,ASL,Air Serbia,AIR SERBIA,Serbia,formerly JAT
41,QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,Name changed from Kyrgyzstan
42,,CCM,Air Corsica,CORSICA,France,
43,,AHS,AHS Air International,HIGH SKY,Pakistan,
44,,ROH,Aberdair Aviation Ghana,,Ghana,
45,,ROO,Aero Roa,AERO ROA,Mexico,
46,,AWF,Aeroforward,,United States,
47,,SUP,Aeronautical Charters,SUN SPEED,United States,
48,,PSO,Aerotaxis Pegaso,AEROPEGASO,Mexico,
49,,VLB,Air Volta,VOLTA,Bulgaria,
50,,WAS,Air-Watania,,Iraq,
51,,FCJ,AirSprint US,FRACJET,United States,"Previously used code ""HAB"""
52,,TEW,Airteam Charter,TEAMWORK,South Africa,
53,,STT,Alpha Star Charter,STAR CHARTER,Saudi Arabia,
54,,LBZ,Angkasa Super Service,,Indonesia,
55,,HEZ,Arrow Aviation,ARROW,Israel,
56,,UAH,"Air Experience Flight, Cranwell",,United Kingdom,Royal Air Force
57,,DRO,Adro Servicios Aereos,ADRO SERVICIOS,Mexico,
58,,RVQ,Aero Jet International,REVA AIR,United States,
59,,ASK,Aerosky,MULTISKY,Spain,
60,,AEH,Aero4m,AEROCUTTER,Slovenia,
61,,ERO,Aeroecom,AEROECOM,Venezuela,
62,A8,XAU,Aerolink Uganda,PEARL,Uganda,
63,,NKY,Aeromonkey,AEROMON,Mexico,
64,,AWP,Aeroworld Pakistan,,Pakistan,
65,,AGA,AG Air,GEOLINE,Georgia,
66,,ABZ,Air Ambulance Services,ISLAND LIFEFLIGHT,Bahamas,
67,RV,ROU,Air Canada Rouge,ROUGE,Canada,
68,,CNM,Air China Inner Mongolia,MENGYUAN,China,
69,,VRE,Air Côte d'Ivoire,COTE DIVORIE,Ivory Coast,
70,,AWL,Air Walser,,Malta,
71,,AXY,Air X Charter,LEGEND,Malta,
72,,OES,ART Aviation,ART AUSTRIA,Austria,
73,,ASF,Austrian Air Force,AUSTRIAN AIRFORCE,Austria,
74,,AVG,Aviation Legacy,AVILEF,Gambia,
75,7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States,
76,1B,,Abacus International,,Singapore,Computer reservation system
77,W9,AAB,Abelag Aviation,ABG,Belgium,
78,6U,ACX,Air Cargo Germany,LOADMASTER,Germany,defunct
79,,AAD,Aero Aviation Centre Ltd.,SUNRISE,Canada,Ceased operations 1995
80,,SII,Aero Servicios Ejecutivos Internacionales,ASEISA,Mexico,
81,,BZS,Aero Biniza,BINIZA,Mexico,
82,,ACO,Aero Comondu,AERO COMONDU,Mexico,
83,,AET,Aero-Palma,AERO PALMA,Spain,defunct
84,,ABM,Aero Albatros,ALBATROS ESPANA,Spain,
85,E4,RSO,Aero Asia International,AERO ASIA,Pakistan,defunct
86,ZI,AAF,Aigle Azur,AIGLE AZUR,France,Former name: Lucas Aigle Azur; former IATA code: LK
87,,AAM,Aviation Management Corporation,AM CORP,United States,
88,,AAO,Atlantis Airlines (USA),ATLANTIS AIR,United States,
89,,AAP,Aerovista Airlines,AEROVISTA GROUP,Kyrgyzstan,defunct
90,AE,AE,Air Ceylon,,Sri Lanka,defunct
91,OZ,AAR,Asiana Airlines,ASIANA,Republic of Korea,
92,4K*,AAS,Askari Aviation,AL-ASS,Pakistan,
93,,AAU,Australia Asia Airlines,AUSTASIA,Australia,Subsidiary merged into Qantas; former IATA code: IM
94,,AAV,Astro Air International,ASTRO-PHIL,United States,
95,8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya,
96,Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia,"defunct, ICAO code no longer allocated"
97,,AAX,Afric'air Express,AFREX,Côte d'Ivoire,defunct
98,,BRL,Air Brasd'or,BRASD'OR,Canada,
99,,AFH,Air Fecteau,FECTO,Canada,defunct
100,,BRM,Air 500,BOOMERANG,Canada,defunct
101,,AAG,Atlantic Flight Training,ATLANTIC,United Kingdom,Changed from Air Atlantique in 2014[2]
102,KI,AAG,Air Atlantique,ATLANTIC,United Kingdom,"Former name: Atlantic Air Transport; former IATA codes: 7M, DG, transferred to Atlantic Flight Training in 2014."
103,QB,AAJ,Air Alma,AIR ALMA,Canada,Ceased operations 10/01/2002; former IATA code: 4L
104,,ACS,Air Cess,,Liberia,defunct
105,,ADT,Air Dorval,AIR DORVAL,Canada,defunct
106,,AHN,Air Hungaria,AIR HUNGARIA,Hungary,
107,,AHR,Air Adriatic,ADRIATIC,Croatia,defunct
108,LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong,
109,,AHS,Air Viggi San Raffaele,AIRSAR,Italy,
110,,AEQ,Air Express,LUNA,Sweden,
111,,AAI,Air Aurora,BOREALIS,United States,Former IATA code: AX
112,,ACU,Air Cargo Transportation System,AFRISPIRIT,Kenya,
113,,ACV,Air Charter Service,,United Kingdom,ICAO code no longer allocated
114,,ADC,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic,defunct
115,,ADW,Air Andaman,AIR ANDAMAN,Thailand,defunct 2004
116,UX,AEA,Air Europa,EUROPA,Spain,
117,I9*,AEY,Air Italy,AIR ITALY,Italy,merged into Meridiana
118,,ASW,Air Southwest Ltd.,AIRSOUTHWEST,Canada,defunct
119,,ASX,Air Special,AIRSPEC,Czech Republic,
120,NX,AMU,Air Macau,AIR MACAO,Macao,
121,ZV,AMW,Air Midwest,AIR MIDWEST,United States,defunct
122,HM,SEY,Air Seychelles,SEYCHELLES,Seychelles,
123,,SFB,Air Sofia,AIR SOFIA,Bulgaria,defunct
124,,BRF,Air Bravo,AIR BRAVO,Uganda,
125,AF,AFR,Air France,AIRFRANS,France,
126,,ACG,Air Partner,AIR PARTNER,United Kingdom,
127,SB,ACI,Air Caledonie International,AIRCALIN,France,
128,,VSG,AirClass Airways,VISIG,Spain,formerly Visig Operaciones Aéreas
129,EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan,merged into ANA Wings
130,,ALM,Air ALM,ANTILLEAN,Netherlands Antilles,defunct
131,,ALN,Air Lincoln,CHICAGO LINCOLN,United States,
132,,ACM,Air Caledonia,WEST CAL,Canada,
133,,AGM,Air Guam,AIR GUAM,United States,
134,ZW,AWI,Air Wisconsin,WISCONSIN,United States,
135,,ALU,Air Luxor STP,LUXORJET,São Tomé and Príncipe,
136,,RSI,Air Sunshine,AIR SUNSHINE,United States,
137,GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon,defunct
138,,AFS,Air Data,,United Kingdom,
139,,AFV,Air Afrique Vacancies,AFRIQUE VACANCE,Côte d'Ivoire,
140,NQ,AJX,Air Japan,AIR JAPAN,Japan,
141,VD,LIB,Air Liberté,AIR LIBERTE,France,defunct
142,TT,KLA,Air Lithuania,KAUNAS,Lithuania,defunct
143,,AMG,Air Minas Linhas Aéreas,AIR MINAS,Brazil,defunct
144,4N,ANT,Air North Charter - Canada,AIR NORTH,Canada,
145,,ANV,Air Nevada,AIR NEVADA,United States,
146,"NZ
TE
",ANZ,Air New Zealand,NEW ZEALAND,New Zealand,"""NZ"" used by New Zealand National Airways Corporation until its merger with Air New Zealand in 1978
""TE"" used by TEAL from 1940-1965, then Air New Zealand from 1965-1990
"
147,,AOE,Air One Executive,,Italy,
148,,AMI,Air Maldives,AIR MALDIVES,Maldives,defunct
149,QM,AML,Air Malawi,MALAWI,Malawi,
150,,AMN,Air Montenegro,MONTENEGRO,Montenegro,
151,ML,BIE,Air Mediterranee,MEDITERRANEE,France,
152,P8,MKG,Air Mekong,MEKONG,Vietnam,defunct
153,,TAH,Air Moorea,AIR MOOREA,France,defunct
154,,AVZ,Air Valencia,AIR VALENCIA,Spain,
155,,AMO,Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada,
156,BM,,Air Sicilia,,Italy,defunct
157,,AMR,Air Specialties Corporation,AIR AM,United States,"Air American, Total Air"
158,,AMS,Air Muskoka,AIR MUSKOKA,Canada,
159,,AOJ,Avcon Jet,ASTERIX,Austria,
160,,AJU,Air Jetsul,AIRJETSUL,Portugal,
161,,AKA,Air Korea Co. Ltd.,,Republic of Korea,
162,,LIV,Air Livonia,LIVONIA,Estonia,defunct
163,ZX,ABL,Air BC,AIRCOACH,Canada,Merged into Air Canada Jazz
164,,ABN,Air Fret Senegal,,Senegal,
165,,LJA,Air Jamahiriya Company,AIR JAMAHIRIYA,Libya,ICAO code no longer allocated
166,G8,AGB,Air Service Gabon,,Gabon,defunct
167,7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland,
168,,MVM,Air Cargo America,PEGASUS,United States,
169,,AMY,Air Ambar,AIR AMBAR,Dominican Republic,
170,6V,VGA,Air Vegas,AIR VEGAS,United States,defunct
171,,AOU,Air Tractor,AIR TRACTOR,Croatia,
172,,APA,Air Park Aviation Ltd.,CAN-AM,Canada,
173,,APG,Air People International,AIR PEOPLE,Thailand,
174,NH,ANA,All Nippon Airways,ALL NIPPON,Japan,
175,,ANB,Air Navigation And Trading Co. Ltd.,AIR NAV,United Kingdom,Former ICAO code: AAT
176,,NGO,Air-Angol,AIR ANGOL,Angola,
177,TZ,TWG,air-taxi Europe,TWINGOOSE,Germany,
178,,NGP,Air Nigeria,REGAL EAGLE,Nigeria,defunct
179,2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States,
180,,SND,Air Samarkand,ARSAM,Uzbekistan,
181,V7,SNG,Air Senegal International,AIR SENEGAL,Senegal,defunct
182,,SNY,Air Sandy,AIR SANDY,Canada,
183,,AII,Air Integra,INTEGRA,Canada,
184,,BFF,Air Baffin,AIR BAFFIN,Canada,renamed to Air Nunavut
185,,BDM,Air Bandama,BANDAMA,Ivory Coast,
186,AB,BER,Air Berlin,AIR BERLIN,Germany,
187,,ABT,Air Brousse,AIR BROUSSE,Canada,defunct
188,,APV,Air Plan International,AIR PLAN,Democratic Republic of the Congo,
189,,ARX,"Air Xpress, Inc.",AIREX,United States,
190,,HTT,Air Tchad,HOTEL TANGO,Chad,
191,,ARZ,Air Resorts,AIR RESORTS,United States,
192,,ASB,Air-Spray 1967 Ltd.,AIR SPRAY,Canada,
193,,ASC,Air Star Corporation,AIR STAR,Canada,
194,4D,ASD,Air Sinai,AIR SINAI,Egypt,
195,,AQN,Air Queensland,BUSHAIR,Australia,defunct
196,,ARC,Air Routing International Corp.,,United States,
197,QN,ARR,Air Armenia,AIR ARMENIA,Armenia,
198,,ABR,ASL Airlines Ireland,CONTRACT,Ireland,"Former IATA Code: AG; former names: Hunting Air Cargo Airlines, Air Contractors"
199,,AIL,Air Illinois,AIR ILLINOIS,United States,defunct
200,AI,AIC,Air India Limited,AIRINDIA,India,
201,,AIG,Air Inter Gabon,,Gabon,
202,PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France,
203,SZ,WOW,Air Southwest,SWALLOW,United Kingdom,defunct
204,,ATJ,Air Traffic GmbH,SNOOPY,Germany,
205,8C,ATN,Air Transport International,AIR TRANSPORT,United States,
206,,ATQ,Air Transport Schiphol,MULTI,Netherlands,
207,,ATS,Air Transport Service,,Democratic Republic of the Congo,
208,,AVG,Air Falcon,DJIBOUTI FALCON,Djibouti,
209,,AUX,Air Uganda International Ltd.,,Uganda,
210,NF,AVN,Air Vanuatu,AIR VAN,Vanuatu,
211,ZB,BUB,Air Bourbon,BOURBON,Reunion,defunct
212,CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland,
213,,AIE,Air Inuit,AIR INUIT,Canada,
214,,AIS,Air Sureste,SURESTE,Spain,
215,RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina,defunct
216,TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France,
217,SW,NMB,Air Namibia,NAMIBIA,Namibia,
218,,NSK,Air Intersalonika,INTERSALONIKA,Greece,
219,,NTL,Air Anatolia,AIR ANATOLIA,Turkey,defunct
220,,SGA,Air Saigon,AIR SAIGON,Vietnam,
221,,AFW,Afrique Regional Airways,AFRAIR,Côte d'Ivoire,defunct
222,AW,AFW,Africa World Airlines,BLACKSTAR,Ghana,
223,,ACX,Air Charters,PARAIR,Canada,defunct
224,PE,AEL,Air Europe Italy,AIR EUROPE,Italy,defunct
225,JM,AJM,Air Jamaica,JAMAICA,Jamaica,merged into Caribbean Airlines; ICAO and IATA codes no longer used.
226,,AWN,Air Niamey,AIR NIAMEY,Niger,
227,,AWT,Air West,AIR WEST,Canada,
228,6G,AWW,Air Wales,RED DRAGON,United Kingdom,"defunct, ICAO code no longer allocated"
229,TX,FWI,Air Caraïbes,FRENCH WEST,France,
230,IX,AXB,Air India Express,EXPRESS INDIA,India,
231,,AXD,Air Express,AIR SUDEX,Sudan,
232,,BSB,Air Wings,ARBAS,Moldova,
233,BT,BTI,Air Baltic,AIRBALTIC,Latvia,
234,,ANI,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria,
235,EL,ANK,Air Nippon,ANK AIR,Japan,"merged into All Nippon Airways, ICAO code no longer allocated"
236,YW,ANE,Air Nostrum,AIR NOSTRUM,Spain,
237,PX,ANG,Air Niugini,NIUGINI,Papua New Guinea,
238,G9,ABY,Air Arabia,ARABIA,United Arab Emirates,
239,AC,ACA,Air Canada,AIR CANADA,Canada,
240,AP,ADH,Air One,HERON,Italy,
241,,MHS,Air Memphis,AIR MEMPHIS,Egypt,
242,XT,AXL,Air Exel,EXEL COMMUTER,Netherlands,defunct
243,,AZF,Air Zermatt AG,AIR ZERMATT,Switzerland,
244,UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe,
245,,MHU,Air Memphis,MEPHIS UGANDA,Uganda,
246,,MKH,Air Marrakech Service,AIR MARRAKECH,Morocco,
247,,AZX,Air Max Africa,AZIMA,Gabon,defunct
248,S2,RSH,Air Sahara,SAHARA,India,renamed to Jetlite
249,,ATA,Air Transport Association,,United States,
250,TC,ATC,Air Tanzania,TANZANIA,Tanzania,
251,,XAC,Air Charter World,,United States,
252,2J,VBW,Air Burkina,BURKINA,Burkina Faso,
253,,ATH,Air Travel Corp.,AIR TRAVEL,United States,
254,KM,AMC,Air Malta,AIR MALTA,Malta,
255,YT,TGA,Air Togo,AIR TOGO,Togo,defunct
256,,ASJ,Air Satellite,SATELLITE,Canada,defunct
257,,ASN,Air and Sea Transport,,Russia,
258,,ASS,"Air Class, S.A. de C.V.",AIR CLASS,Mexico,
259,,NPL,Air Nepal International,AIR NEPAL,Nepal,defunct
260,,NPR,Air Napier,,New Zealand,
261,,WAM,Air Taxi & Cargo,TAXI CARGO,Sudan,
262,,RSM,Air Somalia,AIR SOMALIA,Somali Republic,
263,,AWZ,AirWest,,Sudan,
264,G4,AAY,Allegiant Air,ALLEGIANT,United States,
265,,AAZ,Angus Aviation,ANGUS,Canada,defunct
266,,ABA,Artem-Avia,ARTEM-AVIA,Ukraine,defunct
267,,ABB,African Business and Transportations,AFRICAN BUSINESS,Democratic Republic of the Congo,
268,,ABE,Aban Air,ABAN,Iran,Former IATA code: K5
269,,ABF,Aerial Oy,SKYWINGS,Finland,
270,,ABG,Abakan-Avia,ABAKAN-AVIA,Russia,
271,M3,TUS,ABSA Cargo,Turismo,Brazil,
272,,ABJ,Abaeté Linhas Aéreas,,Brazil,
273,,ABK,Alberta Citylink,ALBERTA CITYLINK,Canada,"defunct, ICAO code no longer allocated"
274,,ABO,APSA Colombia,AEROEXPRESO,Colombia,aka Aeroexpreso Bogota
275,,ABU,Aerovías Bueno,AEROBUENO,Colombia,defunct
276,,ACR,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión",AEROCENTER,Spain,
277,O4,ABV,Antrak Air,ANTRAK,Ghana,
278,GB,ABX,Airborne Express,ABEX,United States,"August 14, 2003 merged into DHL"
279,GB,ABX,ABX Air,ABEX,United States,"August 15, 2003 Air operations of former Airborne Express"
280,,ABZ,ATA Brasil,ATA-BRAZIL,Brazil,defunct
281,,ACC,Avcard Services,,United Kingdom,ICAO code no longer allocated
282,,ACD,Academy Airlines,ACADEMY,United States,
283,8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya,
284,,ACY,Atlas Cargo Airlines,ATLAS CARGOLINES,Morocco,
285,,ADA,Airservices Australia,AUSCAL,Australia,Flight Inspection Unit
286,4G*,,Advance Leasing Company,,United States,
287,8T,TID,Air Tindi,,Canada,
288,,ADB,Antonov Airlines,ANTONOV BUREAU,Ukraine,Antonov Design Bureau
289,,ADD,Advanced Air Co.,,Japan,ICAO Code no longer allocated
290,,ADE,Ada Air,ADA AIR,Albania,"defunct, former IATA code: ZY"
291,,ADG,Aerea Flying Training Organization,AEREA TRAINING,Spain,
292,,ADI,Audeli Air,AUDELI,Spain,
293,,ADJ,Abidjan Air Cargo,ABICAR,Côte d'Ivoire,defunct
294,Z7*,ADK,ADC Airlines,ADCO,Nigeria,defunct; former name: Aviation Development Company
295,,ADL,Aero Dynamics,COTSWOLD,United Kingdom,
296,,ADN,Aero-Dienst,AERODIENST,Germany,
297,,ADP,Aerodiplomatic,AERODIPLOMATIC,Mexico,
298,,ADY,Aerodyne,AERODYNE,United States,
299,,ADQ,Avion Taxi,AIR DATA,Canada,2695731 Canada Inc.
300,JP,ADR,Adria Airways,ADRIA,Slovenia,
301,,ADS,Aviones de Sonora,SONORAV,Mexico,
302,,ADU,Airdeal Oy,AIRDEAL,Finland,
303,,ADV,Advance Air Charters,ADVANCE,Canada,defunct
304,EM*,AEB,Aero Benin,AEROBEN,Benin,defunct
305,,AEC,Aerocésar,AEROCESAR,Colombia,defunct; aka Aerovías del César
306,,AED,Aerotrans Airlines,,Russia,defunct
307,,ADX,Anderson Aviation,ANDAX,United States,
308,A3,AEE,Aegean Airlines,AEGEAN,Greece,
309,,AEG,Aerofumigaciones Sam,FUMIGACIONES SAM,Chile,defunct
310,2K,GLG,Aerogal,AEROGAL,Ecuador,Aerolíneas Galápagos SA
311,,AEI,Aeroexpreso Interamericano,INTERAM,Colombia,defunct
312,,AEJ,Air Express,KHAKI EXPRESS,Tanzania,
313,,AEK,Aerocon,AEROCON,Bolivia,
314,,AEM,Aero Madrid,AEROMADRID,Spain,
315,KD,AEN,Air Enterprise,AIR ENTERPRISE,France,defunct
316,,AEO,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico,
317,,AEP,Aerotec Escuela de Pilotos,AEROTEC,Spain,
318,KO,AER,Alaska Central Express,ACE AIR,United States,
319,VX,AES,ACES Colombia,ACES,Colombia,defunct
320,KH,AAH,Aloha Air Cargo,ALOHA,United States,
321,,AAK,Alaska Island Air,ALASKA ISLAND,United States,
322,AA,AAL,American Airlines,AMERICAN,United States,
323,AX,—,AmericanConnection[5],—,United States,
324,AN,AAA,Ansett Australia,ANSETT,Australia,defunct
325,,AAC,Army Air Corps,ARMYAIR,United Kingdom,
326,5W,AEU,Astraeus,FLYSTAR,United Kingdom,"defunct, ICAO code no longer allocated"
327,,AEV,Aeroventas,AEROVENTAS,Mexico,
328,VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine,defunct
329,,AEX,Airway Express,AVCO,United States,ICAO code no longer allocated
330,,AEZ,Aerial Transit,AERIAL TRANZ,United States,
331,,AFA,Alfa Air,BLUE ALFA,Czech Republic,
332,WK,AFB,American Falcon,AMERICAN FALCON,Argentina,defunct
333,QQ,UTY,Alliance Airlines,UNITY,Australia,
334,,UVS,Air Universal,UNI-LEONE,Sierra Leone,defunct
335,,UVT,Auvia Air,AUVIA,Indonesia,
336,,AFC,African West Air,AFRICAN WEST,Senegal,
337,,AFE,Airfast Indonesia,AIRFAST,Indonesia,
338,FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan,
339,RV*,AFI,Africaone,AFRICAWORLD,The Gambia,
340,Y2,AFJ,Alliance Air,JAMBO,Uganda,Ceased operations 08/10/2000
341,,AFK,Africa Air Links,AFRICA LINKS,Sierra Leone,
342,SU,AFL,Aeroflot Russian Airlines,AEROFLOT,Russia,
343,,AFO,Aero Empresa Mexicana,AERO EMPRESA,Mexico,
344,,AFQ,Alba Servizi Aerotrasporti,ALBA,Italy,
345,5Z,AFX,Airfreight Express,,United Kingdom,Ceased operations 08/03/2002
346,,AFY,Africa Chartered Services,AFRICA CHARTERED,Nigeria,
347,,AFZ,Africa Freight Services,AFREIGHT,Zambia,
348,,AGA,Aeronaves Del Centro,,Venezuela,
349,,AGC,Arab Agricultural Aviation Company,AGRICO,Egypt,
350,,AGF,Atlantic Gulf Airlines,ATLANTIC GULF,United States,defunct
351,5D,SLI,Aeroméxico Connect,COSTERA,Mexico,
352,,AGG,Algoma Airways,ALGOMA,Canada,ICAO code no longer allocated
353,,AGH,Altagna,ALTAGNA,France,
354,,AGO,Angola Air Charter,ANGOLA CHARTER,Angola,
355,,AGP,AERFI Group,AIR TARA,Ireland,
356,,AGQ,Aerogala,GALASERVICE,Chile,defunct
357,1A,AGT,Amadeus IT Group,AMADEUS,Spain,
358,,AGU,Angara Airlines,SARMA,Russia,
359,,AGW,Aero Gambia,AERO GAMBIA,Gambia,"defunct, ICAO code no longer allocated"
360,JJ,AGX,Aviogenex,GENEX,Serbia,
361,,BLR,Atlantic Coast Airlines,BLUE RIDGE,United States,defunct
362,,BLZ,Aero Barloz,AEROLOZ,Mexico,
363,PL,PLI,Aeroperú,Aeroperu,Peru,defunct
364,8A,BMM,Atlas Blue,ATLAS BLUE,Morocco,defunct
365,,BNB,Aero Banobras,AEROBANOBRAS,Mexico,
366,,AGY,Aero Flight Service,FLIGHT GROUP,United States,
367,,AGZ,Agrolet-Mci,AGROLET,Slovakia,
368,GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark,sold to Air Greenland
369,,AHC,Azal Avia Cargo,AZALAVIACARGO,Azerbaijan,Cargo Airline of the State Concern Azerbaijan Hava
370,,AHE,"Airport Helicopter Basel, Muller & Co.",AIRPORT HELICOPTER,Switzerland,
371,,CJE,Aeroservices Corporate,BIRD JET,France,
372,,AHF,Aspen Helicopters,ASPEN,United States,
373,,AHG,Aerochago Airlines,AEROCHAGO,Dominican Republic,defunct
374,,AHH,Airplanes Holdings,AIRHOLD,Ireland,
375,,AHP,Aerochiapas,AEROCHIAPAS,Mexico,
376,,AHU,ABC Air Hungary,ABC HUNGARY,Hungary,
377,HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine,defunct
378,J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan,
379,U3,AIA,Avies,AVIES,Estonia,
380,4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France,
381,,AIH,Alpine Air Chile,ALPINE CHILE,Chile,
382,,AIJ,ABC Aerolíneas,ABC AEROLINEAS,Mexico,
383,,AIK,African Airlines International Limited,AFRICAN AIRLINES,Kenya,
384,,AIN,African International Airways,FLY CARGO,Swaziland,
385,5A,AIP,Alpine Air Express,ALPINE AIR,United States,
386,,AIU,Alicante Internacional Airlines,ALIA,Spain,
387,,ABP,ABS Jets,BAIR,Czech Republic,Named changed from Aba Air
388,ED*,ABQ,Airblue,PAKBLUE,Pakistan,
389,,THM,Airmark Aviation,THAI AIRMARK,Thailand,
390,,AIR,Airlift International,AIRLIFT,United States,defunct
391,,AIT,Airest, ,Estonia,
392,,AIV,Airvias S/A Linhas Aéreas,AIRVIAS,Brazil,
393,W4,BES,Aero Services Executive,BIRD EXPRESS,France,
394,,AIW,Atlantic Island Airways,TARTAN,Canada,
395,,AIX,Aircruising Australia,CRUISER,Australia,
396,,AIY,Aircrew Check and Training Australia,AIRCREW,Australia,
397,IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel,
398,,AJA,Afghan Jet International Airlines,AFGHAN JET,Afghanistan,
399,,AJB,Aero JBR,AERO JBR,Mexico,
400,,AJE,Aero Jet Express,JET EXPRESS,Mexico,defunct
401,,AJF,Avia Consult Flugbetriebs,AVIACONSULT,Austria,
402,,AJI,Ameristar Jet Charter,AMERISTAR,United States,
403,,AJK,Allied Air,BAMBI,Nigeria,
404,,AJO,Aero Ejecutivo,AEROEXO,Mexico,defunct
405,,AJP,Aero Jets Corporativos,AEROJETS,Mexico,
406,,AJS,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia,Aeroejecutivos Aeroservicios Ejecutivos
407,M6,AJT,Amerijet International,AMERIJET,United States,
408,,AJV,ANA & JP Express,AYJAY CARGO,Japan,merged into Air Japan
409,,AJW,Alpha Jet International,ALPHAJET,United States,
410,,AJY,AJet,AYJET,Cyprus,"defunct, ICAO code no longer allocated"
411,,AKB,Aktjubavia,KARAB,Kazakhstan,
412,,AKC,Arca Aerovías Colombianas Ltda.,ARCA,Colombia,
413,,AKF,Anikay Air Company,ANIKAY,Kyrgyzstan,
414,,AKH,Akhal,AKHAL,Turkmenistan,
415,,MNI,Aeromilenio,AEROMIL,Mexico,
416,,AKK,Aklak Air,AKLAK,Canada,
417,4A,AKL,Air Kiribati,,Kiribati,
418,,AKN,Alkan Air,ALKAN AIR,Canada,
419,,AKW,Angkor Airways,ANGKORWAYS,Cambodia,defunct
420,,AKZ,AK Navigator LLC,ABSOLUTE,Kazakhstan,ICAO code no longer allocated
