,IATA,ICAO,Airline,Call sign,Country,Comments
1726,E9,CXS,Boston-Maine Airways,CLIPPER CONNECTION,United States,Pan Am Clipper Connection Pan Am III
1727,SN,BEL,Brussels Airlines,BEE-LINE,Belgium,
1728,,EAH,Baltimore Airways,EASTERN,United States,
1729,,EBA,Bond Aviation,BOND AVIATION,Italy,
1730,,EXB,Brazilian Army Aviation,BRAZILIAN ARMY,Brazil,
1731,,EXP,Business Express Delivery,EXPRESS AIR,Canada,
1732,,FOS,Bel Limited,,Russia,
1733,,HAW,Bangkok Aviation Center,THAI HAWK,Thailand,
1734,,HAX,Benair,SCOOP,Norway,
1735,NT,IBB,Binter Canarias,BINTER,Spain,
1736,,IRJ,Bonyad Airlines,BONYAD AIR,Iran,
1737,,IVR,Burundaiavia,RERUN,Kazakhstan,
1738,0B,BMS,Blue Air,BLUE MESSANGER,Romania,
1739,KJ,LAJ,British Mediterranean Airways,BEE MED,United Kingdom,
1740,,LBY,Belle Air,ALBAN-BELLE,Albania,
1741,,LED,Blom Geomatics,SWEEPER,Norway,
1742,,LTL,Benin Littoral Airways,LITTORAL,Benin,
1743,,LXJ,Bombardier Business Jet Solutions,FLEXJET,United States,
1744,FB,LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria,
1745,,MBR,Brazilian Navy Aviation,BRAZILIAN NAVY,Brazil,
1746,8N,NKF,Barents AirLink,NORDFLIGHT,Sweden,previously Nordkalottflyg
1747,,NYB,Belgian Navy,BELGIAN NAVY,Belgium,
1748,,OGJ,Bakoji Airlines Services,BAKO AIR,Nigeria,
1749,,PEB,Benders Air,PALEMA,Sweden,
1750,,PNT,Balmoral Central Contracts,PORTNET,South Africa,
1751,,POI,BGB Air,BOJBAN,Kazakhstan,
1752,,PPS,Butte Aviation,PIPESTONE,United States,
1753,,RHD,Bond Air Services,RED HEAD,United Kingdom,
1754,,RLR,Business Airfreight,RATTLER,United States,
1755,,RPX,BAC Express Airlines,RAPEX,United Kingdom,
1756,,RRS,Boscombe Down DERA (Formation),BLACKBOX,United Kingdom,
1757,,SCJ,Business Jet Sweden,SCANJET,Sweden,
1758,,SHT,British Airways Shuttle,SHUTTLE,United Kingdom,BA domestic services
1759,,SKH,British Sky Broadcasting,SKYNEWS,United Kingdom,
1760,,TXB,Bell Helicopter Textron,TEXTRON,Canada,
1761,,UKA,Buzzaway Limited,UKAY,United Kingdom,
1762,,VLX,Biz Jet Charter,AVOLAR,United States,
1763,,VOL,Blue Chip Jet,BLUE SPEED,Sweden,
1764,,WFD,BAE Systems,AVRO,United Kingdom,Woodford Flight Test
1765,,WTN,BAE Systems,TARNISH,United Kingdom,Warton Military Flight Ops
1766,,XBO,Baseops International,,United States,
1767,,XDA,Bureau Veritas,,France,
1768,,XMS,British Airways Santa,SANTA,United Kingdom,Christmas charter flights
1769,,ZBA,Boskovic Air Charters Limited,BOSKY,Kenya,
1770,,BLM,Blue Sky Airlines,BLUE ARMENIA,Armenia,
1771,,JMP,Businesswings,JUMP RUN,Germany,
1772,CJ,CFE,BA CityFlyer,FLYER,United Kingdom,
1773,OB,BOV,Boliviana de Aviación,BOLIVIANA,Bolivia,
1774,YB,BRJ,Borajet,BORA JET,Turkey,
1775,BW,BWA,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad and Tobago,
1776,,QAI,Conquest Air,CHICKPEA,United States,2014[2]
1777,,CNW,Continental Airways,,Moldovoa,2014[2]
1778,,CRF,Croix Rouge Francais,CROIX ROUGE,France,2014[2]
1779,,CBH,Corporate Eagle Management Services,CLUB HOUSE,United States,Allocated in 2014[8]
1780,,CCT,Connect Air,CONNECT,Canada,Allocated in 2014[9]
1781,,CME,Commerce Bank,COMMERCE BANK,United States,(Kansas City) Allocated in 2014[10]
1782,,CAA,Civil Aviation Authority of the Czech Republic,INSPECTOR,Czech Republic,
1783,,BKR,Civil Air Patrol South Carolina Wing,BOX KAR,United States,
1784,,BFN,Compagnie Nationale Naganagani,,Burkino Faso,
